,Title,Title2,Price,StarRating,numRater,Shopping_Link,Img_src,Website
240,Moet & Chandon Ice Imperial,Moet & Chandon Ice Imperial,139.99,5.0,5.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/brut/moet-chandon-ice-imperial/p/119787015?s=204&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hde/h73/9947290140702.png,Total Wine
241,Moet & Chandon Ice Imperial Rose,Moet & Chandon Ice Imperial,64.99,5.0,5.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/brut/moet-chandon-ice-imperial/p/119787750?s=204&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h8e/h17/9947035992094.png,Total Wine
242,Moet & Chandon Ice Imperial Rose,Moet & Chandon Ice Imperial,139.99,5.0,5.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/brut/moet-chandon-ice-imperial/p/119787015?s=204&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hde/h73/9947290140702.png,Total Wine
243,Chateau Montelena Estate Cabernet Sauvignon 2014,"Chateau Montelena Cabernet Estate, 2014",149.99,4.0,2.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/chateau-montelena-cabernet-estate/p/22703750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h8c/hd2/8807378714654.png,Total Wine
244,Nautilus Sauvignon Blanc 2017,"Nautilus Sauvignon Blanc, 2017",15.74,3.0,1.0,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/nautilus-sauvignon-blanc/p/95425750?s=1703&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/he0/h81/10951152173086.png,Total Wine
245,Chateau Haura 2015,"Chateau Haura Graves, 2015",19.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-haura-graves/p/137015750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h7a/ha8/10734659829790.png,Total Wine
246,Gruet Brut,Gruet Brut,13.99,5.0,8.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/gruet-brut/p/8662750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h1e/hfc/9084977119262.png,Total Wine
247,Gruet Brut,Gruet Brut,16.99,5.0,8.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/gruet-brut/p/8662375?s=1303&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h38/h0d/11163660812318.png,Total Wine
248,Gruet Brut Rose,Gruet Brut,13.99,5.0,8.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/gruet-brut/p/8662750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h1e/hfc/9084977119262.png,Total Wine
249,Gruet Brut Rose,Gruet Brut,16.99,5.0,8.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/gruet-brut/p/8662375?s=1303&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h38/h0d/11163660812318.png,Total Wine
250,Gruet Domaine Saint Vincent Brut,Gruet Brut,13.99,5.0,8.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/gruet-brut/p/8662750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h1e/hfc/9084977119262.png,Total Wine
251,Gruet Domaine Saint Vincent Brut,Gruet Brut,16.99,5.0,8.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/gruet-brut/p/8662375?s=1303&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h38/h0d/11163660812318.png,Total Wine
252,Gruet Brut (375ML half-bottle),Gruet Brut,13.99,5.0,8.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/gruet-brut/p/8662750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h1e/hfc/9084977119262.png,Total Wine
253,Gruet Brut (375ML half-bottle),Gruet Brut,16.99,5.0,8.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/gruet-brut/p/8662375?s=1303&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h38/h0d/11163660812318.png,Total Wine
254,Ghost Block Oakville Estate Cabernet Sauvignon 2015,"Ghost Block Cabernet Oakville Estate, 2015",89.99,5.0,2.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/ghost-block-cabernet-oakville-estate/p/38329750?s=204&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/ha6/h43/8813978550302.png,Total Wine
255,Ghost Block Oakville Estate Cabernet Sauvignon 2015,"Ghost Block Cabernet Oakville Estate, 2015",129.97,5.0,2.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/ghost-block-cabernet-oakville-estate/p/38329015?s=521&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h81/h2e/8810775576606.png,Total Wine
256,Miraval Rose 2017,"Chateau Miraval Cotes de Provence Rose, 2017",19.97,4.5,14.0,https://www.totalwine.com/wine/rose-blush-wine/grenache/chateau-miraval-cotes-de-provence-rose/p/132067750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/he8/h6e/8797481041950.png,Total Wine
257,St. Innocent Shea Vineyard Pinot Noir 2014,"St Innocent Pinot Noir Shea Vineyard, 2014",58.99,,0.0,https://www.totalwine.com/wine/red-wine/pinot-noir/st-innocent-pinot-noir-shea-vineyard/p/97597750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hf9/h28/8820806582302.png,Total Wine
258,Chateau Pape Clement 2005,"Chateau Pape Clement Pessac, 2005",319.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-pape-clement-pessac/p/16256750?s=205&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h94/h3f/9947235516446.png,Total Wine
259,Belle Glos Las Alturas Vineyard Pinot Noir 2016,"Belle Glos Pinot Noir Las Alturas, 2016",49.99,4.9,18.0,https://www.totalwine.com/wine/red-wine/pinot-noir/belle-glos-pinot-noir-las-alturas/p/38584750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h42/hc0/9012496826398.png,Total Wine
